dataset,init_cls,increment,setting,alpha,lambda_sep,epoch,seed,final,avg
aircraft,50,10,aircraft 50/10,1.0,2.0,5,1993,58.03,61.67833333333334
aircraft,50,10,aircraft 50/10,1.0,2.0,10,1993,58.9,62.81666666666666
aircraft,50,10,aircraft 50/10,1.0,2.0,15,1993,59.56,63.696666666666665
aircraft,50,10,aircraft 50/10,2.0,0.5,5,1993,57.82,61.605
aircraft,50,10,aircraft 50/10,2.0,0.5,10,1993,58.81,62.74333333333333
aircraft,50,10,aircraft 50/10,2.0,0.5,15,1993,59.83,63.321666666666665
aircraft,50,10,aircraft 50/10,2.0,1.0,5,1993,57.82,61.605
aircraft,50,10,aircraft 50/10,2.0,1.0,10,1993,58.81,62.74333333333333
aircraft,50,10,aircraft 50/10,2.0,1.0,15,1993,59.83,63.321666666666665
aircraft,50,10,aircraft 50/10,2.0,2.0,5,1993,57.82,61.605
aircraft,50,10,aircraft 50/10,2.0,2.0,10,1993,58.81,62.74333333333333
aircraft,50,10,aircraft 50/10,2.0,2.0,15,1993,59.83,63.321666666666665
cars,10,10,cars 10/10,0.5,0.5,5,1993,89.96,93.965
cars,10,10,cars 10/10,0.5,0.5,10,1993,90.01,94.002
cars,10,10,cars 10/10,0.5,0.5,15,1993,90.03,94.023
cars,10,10,cars 10/10,0.5,1.0,5,1993,89.91,93.97200000000001
cars,10,10,cars 10/10,0.5,1.0,10,1993,89.98,93.993
cars,10,10,cars 10/10,0.5,1.0,15,1993,90.15,94.02899999999998
cars,10,10,cars 10/10,0.5,2.0,5,1993,89.93,93.97999999999999
cars,10,10,cars 10/10,0.5,2.0,10,1993,90.06,93.97600000000003
cars,10,10,cars 10/10,0.5,2.0,15,1993,90.08,94.02700000000002
cars,10,10,cars 10/10,1.0,0.5,5,1993,90.57,94.25899999999999
cars,10,10,cars 10/10,1.0,0.5,10,1993,90.72,94.331
cars,10,10,cars 10/10,1.0,0.5,15,1993,90.79,94.304
cars,10,10,cars 10/10,1.0,1.0,5,1993,90.57,94.25899999999999
cars,10,10,cars 10/10,1.0,1.0,10,1993,90.72,94.33400000000002
cars,10,10,cars 10/10,1.0,1.0,15,1993,90.74,94.29600000000002
cars,10,10,cars 10/10,1.0,2.0,5,1993,90.57,94.25899999999999
cars,10,10,cars 10/10,1.0,2.0,10,1993,90.69,94.33099999999999
cars,10,10,cars 10/10,1.0,2.0,15,1993,90.74,94.29600000000002
cars,10,10,cars 10/10,2.0,0.5,5,1993,90.37,94.376
cars,10,10,cars 10/10,2.0,0.5,10,1993,90.91,94.53
cars,10,10,cars 10/10,2.0,0.5,15,1993,91.16,94.65700000000001
cars,10,10,cars 10/10,2.0,1.0,5,1993,90.37,94.382
cars,10,10,cars 10/10,2.0,1.0,10,1993,90.91,94.53
cars,10,10,cars 10/10,2.0,1.0,15,1993,91.13,94.66
cars,10,10,cars 10/10,2.0,2.0,5,1993,90.37,94.382
cars,10,10,cars 10/10,2.0,2.0,5,1993,91.13,94.66
cars,10,10,cars 10/10,2.0,2.0,10,1993,90.91,94.53
cars,10,10,cars 10/10,2.0,2.0,15,1993,91.13,94.66
cars,50,10,cars 50/10,0.5,0.5,5,1993,89.96,91.60833333333333
cars,50,10,cars 50/10,0.5,0.5,10,1993,90.01,91.61166666666668
cars,50,10,cars 50/10,0.5,0.5,15,1993,90.03,91.66000000000001
cars,50,10,cars 50/10,0.5,1.0,5,1993,89.91,91.60666666666667
cars,50,10,cars 50/10,0.5,1.0,10,1993,89.98,91.62166666666667
cars,50,10,cars 50/10,0.5,1.0,15,1993,90.15,91.67333333333333
cars,50,10,cars 50/10,0.5,2.0,5,1993,89.93,91.61000000000001
cars,50,10,cars 50/10,0.5,2.0,10,1993,90.06,91.60666666666668
cars,50,10,cars 50/10,0.5,2.0,15,1993,90.08,91.67
cars,50,10,cars 50/10,1.0,0.5,5,1993,90.57,92.02833333333331
cars,50,10,cars 50/10,1.0,0.5,10,1993,90.72,92.12333333333333
cars,50,10,cars 50/10,1.0,0.5,15,1993,90.79,92.13
cars,50,10,cars 50/10,1.0,1.0,5,1993,90.57,92.02833333333332
cars,50,10,cars 50/10,1.0,1.0,10,1993,90.72,92.12833333333333
cars,50,10,cars 50/10,1.0,1.0,15,1993,90.74,92.11666666666667
cars,50,10,cars 50/10,1.0,2.0,5,1993,90.57,92.02833333333332
cars,50,10,cars 50/10,1.0,2.0,10,1993,90.69,92.12333333333333
cars,50,10,cars 50/10,1.0,2.0,15,1993,90.74,92.11666666666667
cars,50,10,cars 50/10,2.0,0.5,5,1993,90.37,92.12833333333333
cars,50,10,cars 50/10,2.0,0.5,10,1993,90.91,92.39833333333333
cars,50,10,cars 50/10,2.0,0.5,15,1993,91.16,92.56833333333333
cars,50,10,cars 50/10,2.0,1.0,5,1993,90.37,92.12833333333333
cars,50,10,cars 50/10,2.0,1.0,10,1993,90.91,92.39833333333333
cars,50,10,cars 50/10,2.0,1.0,15,1993,91.13,92.56333333333332
cars,50,10,cars 50/10,2.0,2.0,5,1993,90.37,92.12833333333333
cars,50,10,cars 50/10,2.0,2.0,10,1993,90.91,92.39833333333333
cars,50,10,cars 50/10,2.0,2.0,15,1993,91.13,92.56333333333332
cifar224,10,10,cifar224 10/10,0.5,0.5,5,1993,79.7,86.43499999999999
cifar224,10,10,cifar224 10/10,0.5,0.5,10,1993,80.03,86.656
cifar224,10,10,cifar224 10/10,0.5,0.5,15,1993,80.26,86.68400000000001
cifar224,10,10,cifar224 10/10,0.5,1.0,5,1993,79.71,86.415
cifar224,10,10,cifar224 10/10,0.5,1.0,10,1993,80.07,86.649
cifar224,10,10,cifar224 10/10,0.5,1.0,15,1993,80.26,86.72299999999998
cifar224,10,10,cifar224 10/10,0.5,2.0,5,1993,79.71,86.403
cifar224,10,10,cifar224 10/10,0.5,2.0,10,1993,80.09,86.62700000000001
cifar224,10,10,cifar224 10/10,0.5,2.0,15,1993,80.23,86.712
cifar224,10,10,cifar224 10/10,1.0,0.5,5,1993,80.14,87.02199999999999
cifar224,10,10,cifar224 10/10,1.0,0.5,10,1993,80.8,87.56899999999999
cifar224,10,10,cifar224 10/10,1.0,0.5,15,1993,81.34,87.855
cifar224,10,10,cifar224 10/10,1.0,1.0,5,1993,80.15,87.01899999999999
cifar224,10,10,cifar224 10/10,1.0,1.0,10,1993,80.8,87.57
cifar224,10,10,cifar224 10/10,1.0,1.0,15,1993,81.34,87.85400000000001
cifar224,10,10,cifar224 10/10,1.0,2.0,5,1993,80.15,87.017
cifar224,10,10,cifar224 10/10,1.0,2.0,10,1993,80.8,87.56899999999999
cifar224,10,10,cifar224 10/10,1.0,2.0,15,1993,81.34,87.85900000000001
cifar224,10,10,cifar224 10/10,2.0,0.5,5,1993,79.97,86.774
cifar224,10,10,cifar224 10/10,2.0,0.5,10,1993,80.3,87.29599999999999
cifar224,10,10,cifar224 10/10,2.0,0.5,15,1993,80.61,87.554
cifar224,10,10,cifar224 10/10,2.0,1.0,5,1993,79.96,86.773
cifar224,10,10,cifar224 10/10,2.0,1.0,10,1993,80.29,87.29499999999999
cifar224,10,10,cifar224 10/10,2.0,1.0,15,1993,80.61,87.55700000000002
cifar224,10,10,cifar224 10/10,2.0,2.0,5,1993,79.96,86.772
cifar224,10,10,cifar224 10/10,2.0,2.0,10,1993,80.29,87.294
cifar224,10,10,cifar224 10/10,2.0,2.0,15,1993,80.61,87.56
cifar224,50,10,cifar224 50/10,0.5,0.5,5,1993,79.7,82.86
cifar224,50,10,cifar224 50/10,0.5,0.5,10,1993,80.03,83.11833333333334
cifar224,50,10,cifar224 50/10,0.5,0.5,15,1993,80.26,83.13333333333334
cifar224,50,10,cifar224 50/10,0.5,1.0,5,1993,79.71,82.86166666666666
cifar224,50,10,cifar224 50/10,0.5,1.0,10,1993,80.07,83.13833333333334
cifar224,50,10,cifar224 50/10,0.5,1.0,15,1993,80.26,83.15833333333333
cifar224,50,10,cifar224 50/10,0.5,2.0,5,1993,79.71,82.85833333333332
cifar224,50,10,cifar224 50/10,0.5,2.0,10,1993,80.09,83.135
cifar224,50,10,cifar224 50/10,0.5,2.0,15,1993,80.23,83.16000000000001
cifar224,50,10,cifar224 50/10,1.0,0.5,5,1993,80.14,83.41166666666665
cifar224,50,10,cifar224 50/10,1.0,0.5,10,1993,80.8,84.045
cifar224,50,10,cifar224 50/10,1.0,0.5,15,1993,81.34,84.41666666666667
cifar224,50,10,cifar224 50/10,1.0,1.0,5,1993,80.15,83.40999999999998
cifar224,50,10,cifar224 50/10,1.0,1.0,10,1993,80.8,84.04666666666667
cifar224,50,10,cifar224 50/10,1.0,1.0,15,1993,81.34,84.415
cifar224,50,10,cifar224 50/10,1.0,2.0,5,1993,80.15,83.40666666666665
cifar224,50,10,cifar224 50/10,1.0,2.0,10,1993,80.8,84.045
cifar224,50,10,cifar224 50/10,1.0,2.0,15,1993,81.34,84.42333333333335
cifar224,50,10,cifar224 50/10,2.0,0.5,5,1993,79.96,83.02499999999999
cifar224,50,10,cifar224 50/10,2.0,0.5,10,1993,80.3,83.50333333333333
cifar224,50,10,cifar224 50/10,2.0,0.5,15,1993,80.61,83.785
cifar224,50,10,cifar224 50/10,2.0,1.0,5,1993,79.96,83.02499999999999
cifar224,50,10,cifar224 50/10,2.0,1.0,10,1993,80.29,83.50166666666667
cifar224,50,10,cifar224 50/10,2.0,1.0,15,1993,80.61,83.79
cifar224,50,10,cifar224 50/10,2.0,2.0,5,1993,79.96,83.02333333333333
cifar224,50,10,cifar224 50/10,2.0,2.0,10,1993,80.29,83.5
cifar224,50,10,cifar224 50/10,2.0,2.0,15,1993,80.61,83.78833333333333
ucf101,10,10,ucf101 10/10,0.5,0.5,5,1993,88.86,93.203
ucf101,10,10,ucf101 10/10,0.5,0.5,10,1993,89.16,93.48299999999999
ucf101,10,10,ucf101 10/10,0.5,0.5,15,1993,89.43,93.697
ucf101,10,10,ucf101 10/10,0.5,1.0,5,1993,88.9,93.235
ucf101,10,10,ucf101 10/10,0.5,1.0,10,1993,89.16,93.49199999999999
ucf101,10,10,ucf101 10/10,0.5,1.0,15,1993,89.5,93.79400000000001
ucf101,10,10,ucf101 10/10,0.5,2.0,5,1993,88.9,93.238
ucf101,10,10,ucf101 10/10,0.5,2.0,10,1993,89.2,93.53800000000001
ucf101,10,10,ucf101 10/10,0.5,2.0,15,1993,89.58,93.838
ucf101,10,10,ucf101 10/10,1.0,0.5,5,1993,89.96,94.33
ucf101,10,10,ucf101 10/10,1.0,0.5,10,1993,91.63,95.20200000000001
ucf101,10,10,ucf101 10/10,1.0,0.5,15,1993,92.38,95.697
ucf101,10,10,ucf101 10/10,1.0,1.0,5,1993,89.96,94.33
ucf101,10,10,ucf101 10/10,1.0,1.0,10,1993,91.63,95.20200000000001
ucf101,10,10,ucf101 10/10,1.0,1.0,15,1993,92.38,95.693
ucf101,10,10,ucf101 10/10,1.0,2.0,5,1993,89.96,94.33399999999999
ucf101,10,10,ucf101 10/10,1.0,2.0,10,1993,91.63,95.20200000000001
ucf101,10,10,ucf101 10/10,1.0,2.0,15,1993,92.38,95.693
ucf101,10,10,ucf101 10/10,2.0,0.5,5,1993,89.81,94.126
ucf101,10,10,ucf101 10/10,2.0,0.5,10,1993,90.87,95.3
ucf101,10,10,ucf101 10/10,2.0,0.5,15,1993,91.82,95.92099999999998
ucf101,10,10,ucf101 10/10,2.0,1.0,5,1993,89.81,94.126
ucf101,10,10,ucf101 10/10,2.0,1.0,10,1993,90.87,95.3
ucf101,10,10,ucf101 10/10,2.0,1.0,15,1993,91.82,95.92599999999997
ucf101,10,10,ucf101 10/10,2.0,2.0,5,1993,89.81,94.126
ucf101,10,10,ucf101 10/10,2.0,2.0,10,1993,90.87,95.3
ucf101,10,10,ucf101 10/10,2.0,2.0,15,1993,91.82,95.92599999999997
ucf101,50,10,ucf101 50/10,0.5,0.5,5,1993,88.86,90.93
ucf101,50,10,ucf101 50/10,0.5,0.5,10,1993,89.16,91.15999999999998
ucf101,50,10,ucf101 50/10,0.5,0.5,15,1993,89.43,91.425
ucf101,50,10,ucf101 50/10,0.5,1.0,5,1993,88.9,90.96333333333332
ucf101,50,10,ucf101 50/10,0.5,1.0,10,1993,89.16,91.19166666666666
ucf101,50,10,ucf101 50/10,0.5,1.0,15,1993,89.5,91.46999999999998
ucf101,50,10,ucf101 50/10,0.5,2.0,5,1993,88.9,90.95166666666667
ucf101,50,10,ucf101 50/10,0.5,2.0,10,1993,89.2,91.23666666666666
ucf101,50,10,ucf101 50/10,0.5,2.0,15,1993,89.58,91.54333333333335
ucf101,50,10,ucf101 50/10,1.0,0.5,5,1993,89.96,92.15333333333332
ucf101,50,10,ucf101 50/10,1.0,0.5,10,1993,91.63,93.44
ucf101,50,10,ucf101 50/10,1.0,0.5,15,1993,92.38,94.07833333333333
ucf101,50,10,ucf101 50/10,1.0,1.0,5,1993,89.96,92.15333333333332
ucf101,50,10,ucf101 50/10,1.0,1.0,10,1993,91.63,93.44
ucf101,50,10,ucf101 50/10,1.0,1.0,15,1993,92.38,94.07166666666667
ucf101,50,10,ucf101 50/10,1.0,2.0,5,1993,89.96,92.16000000000001
ucf101,50,10,ucf101 50/10,1.0,2.0,10,1993,91.63,93.44
ucf101,50,10,ucf101 50/10,1.0,2.0,15,1993,92.38,94.07166666666667
ucf101,50,10,ucf101 50/10,2.0,0.5,5,1993,89.81,92.02166666666669
ucf101,50,10,ucf101 50/10,2.0,0.5,10,1993,90.87,93.35166666666667
ucf101,50,10,ucf101 50/10,2.0,0.5,15,1993,91.82,94.27666666666666
ucf101,50,10,ucf101 50/10,2.0,1.0,5,1993,89.81,92.02166666666669
ucf101,50,10,ucf101 50/10,2.0,1.0,10,1993,90.87,93.35166666666667
ucf101,50,10,ucf101 50/10,2.0,1.0,15,1993,91.82,94.28500000000001
ucf101,50,10,ucf101 50/10,2.0,2.0,5,1993,89.81,92.02166666666669
ucf101,50,10,ucf101 50/10,2.0,2.0,10,1993,90.87,93.35166666666667
ucf101,50,10,ucf101 50/10,2.0,2.0,15,1993,91.82,94.28500000000001
